number,Cwz,k,l,m,n
481,0.67,3,6,4,3
482,-0.48,1,2,6,5
483,0.48,1,6,5,5
484,0.48,4,2,14,1
485,-0.48,9,4,3,1
486,-0.34,3,1,1,3
487,-0.33,2,1,14,1
488,0.33,1,1,15,3
489,-0.67,4,2,6,3
490,-0.47,9,1,7,3
491,-0.67,3,2,3,3
492,-0.47,2,3,5,1
493,0.47,5,1,3,3
494,-0.66,3,2,4,4
495,0.47,3,2,1,2
496,-0.33,5,1,1,2
497,-0.47,7,6,3,1
498,-0.46,3,1,4,4
499,-0.46,7,5,6,1
500,0.46,3,2,12,1
501,0.65,3,4,7,3
502,0.46,2,1,5,5
503,0.46,3,3,16,1
504,0.46,2,4,12,1
505,0.46,10,2,2,1
506,-0.65,4,5,5,2
507,0.46,9,4,5,1
508,-0.46,3,1,17,3
509,0.64,6,2,4,3
510,0.32,15,1,7,1
511,-0.45,2,6,9,1
512,0.32,16,1,7,1
513,0.45,2,1,3,3
514,0.45,6,5,2,1
515,0.45,1,7,3,4
516,0.45,2,7,5,1
517,-0.45,1,2,4,5
518,-0.32,6,1,12,1
519,-0.45,5,5,9,1
520,0.32,1,1,5,5
521,0.45,1,2,13,3
522,-0.45,1,2,7,5
523,-0.45,5,1,7,2
524,-0.63,4,5,6,3
525,-0.44,1,2,16,3
526,0.31,6,3,1,1
527,-0.31,2,1,15,1
528,0.44,9,3,6,1
529,0.44,1,7,4,4
530,-0.44,3,1,9,3
531,0.62,3,2,14,3
532,0.62,4,2,7,3
533,-0.62,3,2,15,3
534,0.43,1,2,17,3
535,-0.43,8,4,3,1
536,-0.43,5,6,14,1
537,-0.43,4,3,10,1
538,-0.43,1,2,18,3
539,-0.43,4,6,4,1
540,0.30,12,1,3,1
541,-0.30,17,1,3,1
542,0.43,5,1,7,3
543,0.43,3,1,18,3
544,0.60,4,5,6,2
545,-0.42,7,3,8,1
546,0.30,5,1,16,1
547,0.60,3,4,6,4
548,0.30,10,1,6,1
549,0.30,7,6,1,1
550,0.42,2,1,9,2
551,0.42,3,1,8,5
552,-0.42,1,2,9,5
553,0.42,5,3,10,1
554,0.42,3,6,6,1
555,-0.30,1,4,10,1
556,0.30,1,2,11,1
557,-0.30,7,4,1,1
558,-0.42,5,4,10,1
559,0.42,5,6,16,1
560,-0.42,9,1,5,2
561,-0.41,3,1,7,5
562,-0.41,4,4,12,1
563,0.59,3,2,8,3
564,0.41,1,2,15,3
565,0.29,1,1,10,5
566,0.58,6,2,6,2
567,-0.41,6,1,5,3
568,-0.58,2,3,5,3
569,0.41,8,6,3,1
570,0.58,3,3,8,2
571,0.29,6,1,2,1
572,0.29,4,1,16,1
573,-0.41,2,1,6,5
574,-0.41,1,7,6,5
575,0.29,1,6,9,1
576,0.29,7,1,8,1
577,0.57,3,6,6,3
578,0.57,4,3,5,3
